InvcNum,DueDate,ShipToName
1020-2,11/16/2017,"Cummings Resources, LLC / 7-11 #7112141"
1021-4,11/20/2017,MC/
1023-3,11/15/2017,"Cummings Resources, LLC / 7/11 #35766"
1030-1,11/9/2017,"Cummings Resources, LLC / 7-11 #26801"
1036,12/8/2017,Pattison Sign Group (Toronto) / Auto Nation Toyota
1085,11/15/2017,"Custom Sign Center, Inc. / Wendy's #01778"
1129-1,11/15/2017,ROSS Stores Inc c/o Bill Moore & Associates
1133-2,11/22/2017,Principle Global / Cricket Wireless
1146,11/16/2017,ROSS Stores Inc c/o Bill Moore & Associates
1146-1,11/24/2017,ROSS Stores Inc c/o Bill Moore & Associates
1148-4,11/28/2017,Egan Sign / Famous Footwear #3580
1148-5,11/28/2017,Egan Sign / Famous Footwear #3580
1154,2/15/2018,Persona / Holiday Inn Express
1155-1,11/13/2017,Custom Sign Center / Wendy's #08847
1157-1,11/10/2017,Autonation Toyota
1164,11/17/2017,First Communities/The Lory of Braden Spirngs
1188,1/16/2018,Custom Sign Center / Wendy's #01775
1189-1,11/6/2017,Custom Sign Center / Wendy's #11932
1191,11/9/2017,MC/
1193-1,11/10/2017,Custom Sign Center / Wendy's #01762
1201,1/3/2018,Archer Sign / Bar Louie
1201-1,11/27/2017,Archer Sign / Bar Louie
1206,11/29/2017,ROSS Stores Inc c/o Bill Moore & Associates
1209,11/20/2017,TDI Signs / Beachworks Outlet
1209-1,11/18/2017,TDI Signs / Beachworks Outlet
1210-1,11/16/2017,SouthWater Signs / Sears1285
1211,11/30/2017,ROSS #0271
1212,12/22/2017,Bahia Shrine Center
1214,11/15/2017,Bo Benton II / Bojangles
1219,11/8/2017,Custom Sign Center / Simply Self Storage
1221,12/13/2017,Pattison Sign Group / Fountain Acura
1221-1,12/8/2017,Pattison Sign Group Inc. (Knoxville)
1223,12/11/2017,Rent A Center
1228,11/15/2017,CenterPointe Church
1229,11/8/2017,Pattison Sign Group / Gerber Collision
1231,11/8/2017,Pattison Sign Group / Gerber Collision
